recommendation_id,game,playtime_at_review_hours,game_q75,high_playtime,review_word_count,log_review_words,combat,challenge,progression,exploration,narrative,immersion,steam_purchase,received_for_free
229419673,Cyberpunk 2077,3.4333,138.225025,0,12,2.564949357,0,0,0,0,0,0,1,0
229419432,Cyberpunk 2077,211.1833,138.225025,1,12,2.564949357,0,0,0,0,0,0,1,0
229418931,Cyberpunk 2077,5.2167,138.225025,0,10,2.397895273,0,0,0,0,0,0,1,0
229413938,Cyberpunk 2077,28.9667,138.225025,0,119,4.787491743,0,0,0,0,1,0,0,0
229413769,Cyberpunk 2077,17.1667,138.225025,0,25,3.258096538,0,0,0,0,0,0,1,0
229413299,Cyberpunk 2077,34.5167,138.225025,0,32,3.496507561,0,0,0,0,1,0,1,0
229413132,Cyberpunk 2077,38.6167,138.225025,0,44,3.80666249,0,1,0,0,1,0,1,0
229411653,Cyberpunk 2077,58.9667,138.225025,0,39,3.688879454,0,0,0,0,0,0,1,0
229408403,Cyberpunk 2077,64.5833,138.225025,0,140,4.94875989,0,0,0,0,0,0,1,0
229395606,Cyberpunk 2077,17.3667,138.225025,0,10,2.397895273,0,0,0,0,0,0,1,0
229393908,Cyberpunk 2077,47.2833,138.225025,0,57,4.060443011,0,0,0,0,0,0,1,0
229393538,Cyberpunk 2077,5.9333,138.225025,0,17,2.890371758,0,0,0,0,0,0,1,0
229392693,Cyberpunk 2077,34.1167,138.225025,0,12,2.564949357,0,0,0,0,0,0,1,0
229392628,Cyberpunk 2077,21.0833,138.225025,0,19,2.995732274,0,0,0,0,0,0,1,0
229392605,Cyberpunk 2077,369.5167,138.225025,1,24,3.218875825,0,0,0,0,0,0,1,0
229392094,Cyberpunk 2077,15.6333,138.225025,0,27,3.33220451,0,0,0,0,0,0,1,0
229392076,Cyberpunk 2077,12.5667,138.225025,0,15,2.772588722,0,0,0,0,1,0,1,0
229392036,Cyberpunk 2077,50.85,138.225025,0,432,6.070737728,1,0,1,0,1,0,1,0
229391795,Cyberpunk 2077,111.7667,138.225025,0,22,3.135494216,0,0,0,0,1,1,0,0
229391739,Cyberpunk 2077,139.5667,138.225025,1,213,5.365976015,1,0,1,1,1,1,1,0
229391158,Cyberpunk 2077,106.2167,138.225025,0,85,4.454347296,0,0,0,0,0,0,1,0
229390662,Cyberpunk 2077,101.3,138.225025,0,14,2.708050201,0,0,0,0,0,0,1,0
229390567,Cyberpunk 2077,14.5333,138.225025,0,10,2.397895273,0,0,0,0,0,0,1,0
229390545,Cyberpunk 2077,87.8833,138.225025,0,17,2.890371758,0,0,0,0,0,0,1,0
229389239,Cyberpunk 2077,19.3,138.225025,0,23,3.17805383,0,0,0,0,0,0,1,0
229388783,Cyberpunk 2077,33.8333,138.225025,0,22,3.135494216,0,0,0,0,0,0,1,0
